Name,NAICSCode,Phone,WebAddress,Address,PostalCode,BldgNo,UnitNo,Latitude,Longitude
Havelly Grill,722512,905-212-1213,www.havellygrill.com,1510 Drew Rd,L5S 1W7,,UnitNo 2,43.681849,-79.681406
Lucky Luciano's Italian & Portuguese Eatery,722511,905-672-5252,,1510 Drew Rd,L5S 1W7,,UnitNo 1,43.681849,-79.681406
Mia Italian Restaurant,722511,905-673-7622,,1885 Drew Rd,L5S 1J5,,UnitNo 2&3,43.68874,-79.67238
"Grecian Place, The",722511,905-677-7884,www.thegrecianplace.ca,1935 Drew Rd,L5S 1M5,,UnitNo 8 to 10,43.689047,-79.670677
Jung Thai Restaurant,722511,905-277-2502,,105 Dundas St E,L5A 1W7,,,43.582697,-79.613598
McDonald's,722512,905-270-9614,www.mcdonalds.ca,1050 Dundas St E,L4Y 2B8,,,43.602206,-79.591758
Avenue Motel,721114,905-273-5555,www.avenuemotel.ca,1060 Dundas St E,L4Y 2B8,,,43.602658,-79.591273
Bale Sandwich,722512,905-272-6875,,1125 Dundas St E,L4Y 2C4,,UnitNo 4,43.60421,-79.59082
Subway,722512,905-566-4980,www.subway.com,1125 Dundas St E,L4Y 2C4,,UnitNo 9,43.60421,-79.59082
Greek 2 Go,722511,647-701-0889,,1125 Dundas St E,L4Y 2C4,,UnitNo 2,43.60421,-79.59082
Roti Stop,722512,905-306-7684,www.rotistop.com,1125 Dundas St E,L4Y 2C4,,UnitNo 7,43.60421,-79.59082
Island Palace,722512,437-887-2860,,1125 Dundas St E,L4Y 2C4,,UnitNo 12,43.60421,-79.59082
Handaan Filipino Cuisine,722512,905-232-5532,,3008 Novar Rd,L5B 1S4,,,43.57811,-79.61946
Holy Smokez BBQ Sandwiches,722512,647-799-2273,www.holysmokez.com,1133 Dundas St E,L4Y 2C3,,UnitNo 2,43.6043,-79.59023
Roseto Valforte Cultural Center,722512,905-848-9036,,2394 Haines Rd,L4Y 1Y6,,UnitNo 7,43.593318,-79.590765
Monte Carlo Inns Airport Suites,721111,905-564-8500,www.montecarloinns.com,7035 Edwards Blvd,L5T 2H8,,,43.649184,-79.704133
Pho Hung,722511,905-275-8588,,1195 Dundas St E,L4Y 2l5,,,43.605278,-79.588411
Corner by Spoon and Fork,722511,905-803-1100,www.sfcorner.ca,1225 Dundas St E,L4Y 2C5,,UnitNo 14B,43.60635,-79.58829
Vin Bon,722511,905-232-9463,www.vinbonmississaugaeast.ca,1248 Dundas St E,L4Y 2C1,,UnitNo 3,43.60575,-79.58565
Song Cook's,722511,647-454-8000,,1310 Dundas St E,L4Y 2C1,,UnitNo 5,43.60672,-79.58499
Tim Hortons,722512,905-275-6867,www.timhortons.com,1327 Dundas St E,L4Y 2C7,,,43.60847,-79.58598
Pizza Pizza,722512,905-238-1873,www.pizzapizza.ca,1403 Dundas St E,L4X 1L3,,,43.609647,-79.583618
Mandarin,722511,905-502-8000,,87 Matheson Blvd E,L4Z 2Y5,,,43.620558,-79.66863
East Side Mario's,722511,905-273-5818,www.eastsidemarios.com,1488 Dundas St E,L4X 1L4,,,43.611621,-79.58128
Harvey's,722512,905-625-8706,,1505 Dundas St E,L4X 1L3,,,43.61176,-79.581129
Spice & Aroma,722511,905-232-5202,,157 Dundas St E,L5A 1W8,,UnitNo 3B,43.583734,-79.612387
Lé Vu,722511,905-276-5888,,1580 Dundas St E,L4X 1L4,,,43.613831,-79.578906
Beyti Kebab,722512,,,1650 Dundas St E,L4X 2Z3,,UnitNo 1,43.61435,-79.57701
C and Dubbs Hamburgers,722511,905-270-1361,,1706 Dundas St E,L4X 1L7,,UnitNo 1,43.61621,-79.576366
Papa Johnas Pizza,722512,905-273-7272,,1706 Dundas St E,L4X 1L7,,UnitNo 2,43.61621,-79.576366
Mr. Sub,722512,905-625-4166,,1725 Dundas St E,L4X 1L5,,,43.616931,-79.575597
Diamonds Gentlemen's Club,722410,905-270-9985,,1820 Dundas St E,L4X 1L8,,,43.618657,-79.573683
Dragon Palace,722511,905-279-9111,www.mississaugachineserestaurant.ca,1850 Dundas St E,L4X 1L9,,,43.619191,-79.573109
Monte Carlo Inn,721111,905-273-9500,www.montecarloinns.com,1886 Dundas St E,L4X 1L9,,,43.619914,-79.572461
Burrito Boyz,722512,905-279-2699,www.burritoboyz.ca,19 Dundas St E,L5A 1V9,,,43.58092,-79.615638
Fregata Restaurant,722511,905-270-6265,,1900 Dundas St E,L4X 2Z4,,UnitNo Floor 2,43.62013,-79.57163
Fort York Motel,721114,905-277-2524,,1920 Dundas St E,L4X 1L9,,,43.620683,-79.571667
Milan Banquet Hall,722320,905-624-1907,www.milanbanquethall.ca,1989 Dundas St E,L4X 1M1,,UnitNo A,43.621398,-79.570949
Docuserve Etc,722512,905-896-0800,www.docuserveetec.com,20 Dundas St E,L5A 1W2,,UnitNo 2,43.580682,-79.615908
Orbit Restaurant,722511,905-290-7000,www.orbitrestaurant.ca,2025 Dundas St E,L4X 1M2,,UnitNo 3&4,43.622848,-79.569399
Montreal Deli Family Restaurant,722512,905-625-3265,,2055 Dundas St E,L4X 2V9,,,43.622943,-79.569296
Potluck Restaurant ,722512,905-232-6555,,21 Dundas St E,L5A 1V9,,,43.580967,-79.615584
South Creek Donuts & Subs,722512,905-273-7490,,2100 Dundas St E,L4X 1L9,,,43.62434,-79.567812
"Open Cork Eatery & Lounge, The",722511,905-624-9777,www.theopencork.com,2101 Dundas St E,L4X 1M3,,,43.624478,-79.567671
Crystal Grand Banquet Hall and Conference Center,722320,905-277-2800,www.crystalgrand.ca,2110 Dundas St E,L4X 1L9,,UnitNo 4,43.62462,-79.567523
Lviv Castle,722511,416-628-4727,www.lvivcastle.ca,2120 Dundas St E,L4X 1L9,,,43.624932,-79.567198
Krazzy Gyro,722512,905-206-1116,,2121 Dundas St E,L4X 1M3,,UnitNo A,43.624888,-79.567243
Super 5 Inn,721111,905-624-6424,www.super5inn.com,2171 Dundas St E,L4X 1M3,,,43.625784,-79.566277
La Castile Steak House,722511,905-625-1137,www.lacastile.com,2179 Dundas St E,L4X 1M3,,,43.626061,-79.56593
Muddy Duck Restaurant,722511,905-275-9430,www.muddyduck.com,2200 Dundas St E,L4X 2V3,,UnitNo 1&2,43.626061,-79.56593
Bounty Restaurant,722511,,,2206 Dundas St E,L4X 1L9,,,43.626315,-79.565542
Pho Do Thi,722511,905-615-9696,,25 Dundas St E,L5A 1V9,,,43.581063,-79.615475
Pizza Hut,722512,905-277-9797,www.pizzahut.ca,289 Dundas St E,L5A 1X1,,UnitNo 1,43.586409,-79.609313
Szechuan Noodle Bowl,722512,905-270-0068,,400 Dundas St E,L5A 1X5,,UnitNo 101,43.588628,-79.606796
Wow! Korean Restaurant,722511,905-896-2315,,55 Dundas St E,L5A 1W1,,UnitNo 4,43.581727,-79.614715
Montfort Mediterranean Cuisine,722511,905-949-1447,,60 Dundas St E,L5A 1W4,,UnitNo 1,43.581689,-79.61476
K F C,722512,905-949-1095,www.kfc.ca,60 Dundas St E,L5A 1W4,,UnitNo 7,43.581689,-79.61476
Tim Hortons,722512,905-566-4982,www.timhortons.com,799 Dundas St E,L4Y 2B7,,,43.596967,-79.597454
Sikgaek,722512,647-847-1030,,800 Dundas St E,L4Y 2B6,,UnitNo A,43.597042,-79.597372
Thanh Son Tofu,722512,905-268-0705,,888 Dundas St E,L4Y 4G6,,UnitNo D3-B,43.598689,-79.59557
Koai Sushi,722512,647-930-7661,www.koaisushi.com,888 Dundas St E,L4Y 4G6,,UnitNo F4,43.598689,-79.59557
Sushi Omigato,722511,,www.sushiomigato.com,888 Dundas St E,L4Y 4G6,,UnitNo E-1,43.598689,-79.59557
B3t Chi,722512,647-739-3634,,888 Dundas St E,L4Y 4G6,,UnitNo D4-C,43.598689,-79.59557
Nguyet Minh Lo Banh Mi,722512,905-275-0988,,888 Dundas St E,L4Y 4G6,,UnitNo D3-A,43.598689,-79.59557
Blue Lagoon Seafood Master,722511,905-566-9888,www.bluelagoonseafoodmaster.com,888 Dundas St E,L4Y 4G6,,,43.598689,-79.59557
Tsui Xiang Tseun,722512,905-279-9908,,888 Dundas St E,L4Y 4G6,,,43.598689,-79.59557
Wokman's Kitchen,722512,905-270-6785,www.wokmanskitchen.foodpages.ca,888 Dundas St E,L4Y 4G6,,,43.598689,-79.59557
"Best Friend Chinese Restaurant, The",722511,905-848-2010,www.bestfriendrestaurant.com,888 Dundas St E,L4Y 4G6,,,43.598689,-79.59557
Livadia Restaurant and Banquet Hall,722511,905-897-3838,www.livadia.ca,918 Dundas St E,L4Y 4H9,,,43.599313,-79.594894
"D'Ouro, Leao Restaurant Bar",722511,905-566-5326,www.leaodouro.com,920 Dundas St E,L4Y 2B8,,,43.599281,-79.59493
K F C,722512,905-279-3131,www.kfc.ca,965 Dundas St E,L4Y 2B7,,,43.600322,-79.593792
Cosimo's Cheese and Deli Ltd.,722512,905-276-4725,,1051 Dundas St W,L5C 1C3,,,43.55823,-79.64263
Bertos Cuisine,722511,905-232-0203,,1063 Dundas St W,L5C 1C3,,,43.55802,-79.64288
Song's Kitchen,722512,905-848-0888,www.songskitchen.ca,1067 Dundas St W,L5C 1C3,,,43.55792,-79.64297
John Anderson,722512,905-276-8752,,1069 Dundas St W,L5C 1C3,,,43.55788,-79.64302
Pizza Pizza,722512,905-270-5470,www.pizzapizza.ca,1093 Dundas St W,L5C 1C6,,,43.5574,-79.64338
Sultan Xpress,722512,905-361-3999,www.sultanxpress.ca,1100 Dundas St W,L5C 4E7,,UnitNo 5,43.557122,-79.643131
Subway,722512,905-273-4443,www.subway.com,1151 Dundas St W,L5C 1C6,,UnitNo 39,43.55655,-79.64458
"Sammy's Chinese Food, Burgers & Ice Cream",722512,905-277-8772,,1151 Dundas St W,L5C 1C6,,UnitNo 19,43.55655,-79.64458
Pita & Grill,722512,905-566-0140,www.pitaandgrill.com,134 Dundas St W,L5B 1H9,Bldg 1,UnitNo 1,43.577376,-79.619701
Tim Hortons,722512,905-273-7200,www.timhortons.com,144 Dundas St W,L5B 1H9,Bldg 2,UnitNo 4,43.577137,-79.619974
Piatto Ristorante,722511,905-896-9111,www.piatto.ca,1646 Dundas St W,L5C 1E6,,,43.544793,-79.654993
Rogues Ristorante,722511,905-822-2670,www.roguesrestaurant.com,1900 Dundas St W,L5K 1P9,Bldg A,UnitNo 43,43.539628,-79.662967
Erin Mills Pump & Patio,722511,905-916-7867,www.theerinmillspump.com,1900 Dundas St W,L5K 1P9,Bldg E,UnitNo E1,43.539628,-79.662967
"Apricot Tree Ltd., The",722511,905-855-1470,www.apricottreecafe.com,1900 Dundas St W,L5K 1P9,Bldg C,UnitNo 10&19,43.539628,-79.662967
168 Sushi Japan Buffet,722511,905-823-8818,www.168sushibuffet.com,2366 Dundas St W,L5K 1R7,,,43.530153,-79.673621
Miga Korean Restaurant,722511,289-218-6726,www.migabbq.com,2382 Dundas St W,L5K 1R7,,,43.529794,-79.674015
Wendy's,722512,905-855-8953,www.wendys.ca,2400 Dundas St W,L5K 2R8,Bldg 1,,43.528954,-79.674939
Mary Brown's Chicken & Taters Inc.,722512,905-823-3259,,2400 Dundas St W,L5K 2R8,Bldg 2,UnitNo 1,43.528954,-79.674939
Tim Hortons,722512,905-822-0130,www.timhortons.com,2458 Dundas St W,L5K 1R8,Bldg 4,UnitNo 1A,43.527975,-79.676016
Subway,722512,905-822-3664,www.subway.com,2458 Dundas St W,L5K 1R8,,UnitNo 1A,43.527975,-79.676016
Sushi Park,722512,905-855-8842,,2458 Dundas St W,L5K 1R8,,UnitNo 15,43.527975,-79.676016
Mulligan's Pub & Grill (1135981 Ontario Ltd.),722511,905-855-7584,,2458 Dundas St W,L5K 1R8,,UnitNo 16&17,43.527975,-79.676016
Kababsaray Shahyad Take Out & Catering,722512,289-521-0403,www.kababsara-shahyad.com,255 Dundas St W,L5B 3B2,,UnitNo 7A,43.574808,-79.622673
Al-Omda Restaurant and Lounge,722512,905-232-0112,,255 Dundas St W,L5B 3B2,,UnitNo 8,43.574808,-79.622673
Harveys,722512,905-828-2220,www.harveys.ca,2681 Dundas St W,L5K 1R9,,,43.523421,-79.681155
Symposium Cafe,722511,905-820-3100,www.symposiumcafe.com,3055 Dundas St W,L5L 3R8,Bldg 1,UnitNo 14&15,43.521029,-79.683701
J J Q's Billiards and Sports Bar,722410,905-607-2582,www.jjqs.ca,3055 Dundas St W,L5L 3R8,Bldg 1,UnitNo 1,43.521029,-79.683701
Mandarin,722511,905-569-7000,www.mandarinrestaurant.com,3105 Dundas St W,L5L 3R8,Bldg 2,UnitNo 100,43.520816,-79.683925
Bamboo Legend,722511,905-569-3180,www.bamboolegend.ca,3145 Dundas St W,L5L 5V8,,,43.519797,-79.68499
Starbucks,722512,905-608-0633,www.starbucks.ca,3235 Dundas St W,L6J 4Z3,Bldg 2,,43.51837,-79.68723
Bar B Q Tonite,722511,905-268-0088,,35 Dundas St W,L5B 1H2,,,43.57944,-79.617338
Chapli Kabob,722512,905-279-1000,,40 Dundas St W,L5B 1H4,Bldg 2,UnitNo 6,43.579515,-79.617253
Las Delicias,722512,905-232-0060,,59 Dundas St W,L5B 1H7,,,43.578858,-79.617995
Hot Plate,722512,905-848-4100,,69 Dundas St W,L5B 1H7,,,43.578678,-79.618203
Reyan Restaurant,722512,905-848-2615,www.reyan.ca,75 Dundas St W,L5B 1H7,,,43.578567,-79.618329
R K Sweets & Restaurant,722511,905-848-3933,,755 Dundas St W,L5C 3B6,Bldg 1,,43.5637,-79.635652
Pizza Nova,722512,905-848-0000,www.pizzanova.com,755 Dundas St W,L5C 3B6,Bldg 1,UnitNo A2,43.5637,-79.635652
Mr. Sub,722512,905-272-1067,www.mrsub.com,755 Dundas St W,L5C 3B6,Bldg 1,,43.5637,-79.635652
Broast Inn,722512,905-481-1222,www.broastinn.com,77 Dundas St W,L5B 1H7,,,43.578492,-79.618414
Archtop Cafe & Music,722512,905-278-2233,www.archtop.group,109 Lakeshore Rd E,L5G 1E2,,,43.553749,-79.583363
Popeyes,722512,905-997-9229,www.popeyeschicken.ca,3087 Winston Churchill Blvd,L5L 2V8,,UnitNo 2,43.524271,-79.683704
The Saucy Grill Inc.,722511,905-542-9600,www.saucyrestaurant.com,111 Queen St S,L5M 1K7,Bldg 1,UnitNo 1,43.58412,-79.7168
Tim Hortons,722512,905-813-2368,www.timhortons.com,6677 Meadowvale Town Centre Cir,L5N 2R5,,UnitNo 175,43.584038,-79.76058
Mamma D's,722511,905-282-0710,,4544 Eastgate Pky,L4W 3W6,,,43.638897,-79.611086
Hampton Inn,721111,905-564-2122,www.hampton-inn.com/hi-mississauga,7040 Edwards Blvd,L5S 1Z1,,,43.64905,-79.705
Peter's on Eglinton Restaurant & Deli,722511,905-624-1995,www.petersoneglinton.com,1035 Eglinton Ave E,L4W 1K4,,,43.62888,-79.62925
Strates Italian Express,722511,905-624-2000,www.italianexpresstrattoria.com,1151 Eglinton Ave E,L4W 1K6,,UnitNo 4,43.63112,-79.62669
Maple Banquet Hall,722320,905-206-9333,www.maplebanquet.com,1325 Eglinton Ave E,L4W 4L9,,UnitNo 7 to 11,43.634813,-79.621851
Zauq,722511,905-625-7786,www.zauq.ca,1325 Eglinton Ave E,L4W 4L9,,UnitNo 12,43.634813,-79.621851
Pizza Pizza,722512,905-568-1669,www.pizzapizza.ca,295 Eglinton Ave E,L4Z 3K6,Bldg 2,UnitNo 16,43.61358,-79.64616
Coffee Culture,722512,905-813-0330,www.coffeeculture.ca,1220 Eglinton Ave W,L5V 1N3,,,43.580207,-79.682638
Golden Fountain Chinese Restaurant,722511,905-826-6688,,1250 Eglinton Ave W,L5V 1N3,,UnitNo A1 - A5,43.578853,-79.68411
Second Cup,722512,905-820-1961,www.secondcup.com,2200 Eglinton Ave W,L5M 2N1,,UnitNo J,43.560453,-79.704864
Coco,722512,905-232-2750,www.cocosworld.com,30 Eglinton Ave W,L5R 3E7,,UnitNo 6,43.605827,-79.653866
Emerald Chinese Restaurant,722511,905-890-9338,www.emeraldchineserestaurant.com,30 Eglinton Ave W,L5R 3E7,,UnitNo 1,43.605827,-79.653866
Tim Hortons,722512,905-712-0202,www.timhortons.com,30 Eglinton Ave W,L5R 3E7,,UnitNo 16 to 18,43.605827,-79.653866
The Wilcox Gastropub Ltd.,722511,905-568-1122,www.thewilcox.ca,30 Eglinton Ave W,L5R 3E7,,,43.605827,-79.653866
Sam Woo BBQ Restaurant,722511,905-507-3988,,660 Eglinton Ave W,L5R 3V2,,UnitNo 15,43.592486,-79.668821
Pizza Nova,722512,905-890-7677,www.pizzanova.com,660 Eglinton Ave W,L5R 3V2,,UnitNo 17A,43.592486,-79.668821
Udupi Madras Caf ,722511,905-277-0010,www.udupimadrascafe.ca,265 Enfield Pl,L5B 3Y7,Bldg 1,UnitNo R202,43.59099,-79.636414
Seoul House Restaurant,722511,905-848-5556,,265 Enfield Pl,L5B 3Y7,Bldg 1,UnitNo R100,43.59099,-79.636414
Caffe Demetre,722512,905-281-2400,www.caffedemetre.com,285 Enfield Pl,L5B 3Y6,Bldg 2,UnitNo R104,43.590286,-79.635202
&Company Resto Bar,722410,905-808-2112,www.andcompany.ca,295 Enfield Pl,L5B 3E2,Bldg 3,,43.591004,-79.636396
Sandwich Delight,722512,905-670-4911,www.sandwichdelight.ca,1550 Enterprise Rd,L4W 4P4,,UnitNo 128,43.652359,-79.640257
Subway,722512,905-624-8822,www.subway.com,2555 Erin Centre Blvd,L5M 5H1,,UnitNo 6,43.562259,-79.710121
Menchies,722512,905-607-1117,www.menchies.ca,2690 Erin Centre Blvd,L5M 5P5,Bldg 1,UnitNo A3,43.558254,-79.716838
Pizza Pizza,722512,905-828-6444,www.pizzapizza.ca,2690 Erin Centre Blvd,L5M 5P5,Bldg 1,UnitNo A7,43.558254,-79.716838
Tim Hortons,722512,905-858-1400,www.timhortons.com,2991 Erin Centre Blvd,L5M 6B8,,,43.553401,-79.722366
Abbey Road Pub & Patio,722511,905-608-9603,www.abbeyroadpub.ca,3200 Erin Mills Pky,L5L 1W8,,UnitNo 9,43.540501,-79.672704
Popular Pizza,722512,905-820-6569,www.popularpizza.ca,3200 Erin Mills Pky,L5L 1W8,,UnitNo 12,43.540501,-79.672704
Pizza Nova,722512,416-439-0000,www.pizzanova.com,4099 Erin Mills Pky,L5L 3P9,,UnitNo 12,43.549861,-79.688087
Neighbours Coffee,722512,905-820-3237,,4140 Erin Mills Pky,L5L 3R3,Bldg 1,,43.551168,-79.690793
K F C/Taco Bell,722512,905-828-6996,www.kfc.ca,5100 Erin Mills Pky,L5M 4Z5,,UnitNo FC9,43.5605,-79.70971
Subway,722512,905-828-8568,www.subway.com,5100 Erin Mills Pky,L5M 4Z5,,UnitNo FC7,43.5605,-79.70971
Bourbon St. Grill,722512,905-608-8818,,5100 Erin Mills Pky,L5M 4Z5,,UnitNo FC13,43.5605,-79.70971
Thai Express ,722512,905-607-2903,www.thaiexpress.com,5100 Erin Mills Pky,L5M 4Z5,,UnitNo FC4,43.5605,-79.70971
A & W,722512,647-479-4803,www.aw.ca,5100 Erin Mills Pky,L5M 4Z5,,UnitNo FC6,43.5605,-79.70971
Jimmy The Greek,722512,905-828-4646,www.jimmythegreek.com,5100 Erin Mills Pky,L5M 4Z5,,UnitNo FC5,43.5605,-79.70971
Timothy's World Coffee,722512,905-569-6906,www.timothyscafes.com,5100 Erin Mills Pky,L5M 4Z5,,UnitNo H10,43.5605,-79.70971
Tim Horton's,722512,905-858-9555,www.timhortons.com,6405 Erin Mills Pky,L5N 4H4,Bldg A,UnitNo 2,43.586676,-79.742343
Bombay Bhel Indian Cuisine,722512,905-858-6100,www.bombaybhelindiancuisine.com,6415 Erin Mills Pky,L5N 4H4,Bldg B,,43.587493,-79.742129
Pizza Hut,722512,905-858-1898,www.pizzahut.ca,6435 Erin Mills Pky,L5N 4H4,Bldg C,,43.587055,-79.742279
Harvey's,722512,905-858-0809,www.harveys.com,6430 Erin Mills Pky,L5N 3P3,,,43.587125,-79.742477
Select Sandwich,722512,905-629-8989,www.selectsandwich.ca,5090 Explorer Dr,L4W 4T9,,UnitNo 102,43.661535,-79.596598
Druxy's Famous Deli,722512,905-238-5222,www.druxys.com,5580 Explorer Dr,L4W 4Y1,,UnitNo 102,43.659132,-79.611982
Halo Halo,722511,905-282-9233,,1085 Fewster Dr,L4W 1A2,,UnitNo 2,43.627829,-79.623011
Meenakxy Take-Out,722512,905-238-6114,,3419 Fieldgate Dr,L4X 2J4,,,43.62432,-79.58817
Maple Pizza,722512,905-238-3003,,3421 Fieldgate Dr,L4X 2J4,,UnitNo A,43.62438,-79.58846
Karachi Grill,722512,905-602-5555,www.karachigrill.ca,3425 Fieldgate Dr,L4X 2J4,,UnitNo 10,43.62435,-79.58828
Mr. Big's Family Restaurant,722512,905-593-3232,,3476 Glen Erin Dr,L5L 3R4,,UnitNo 6,43.537697,-79.687239
Pizzaville,722512,416-736-3636,www.pizzaville.ca,5636 Glen Erin Dr,L5M 6B1,Bldg 1,UnitNo 7B,43.566294,-79.729359
Subway,722512,905-858-4789,www.subway.com,5636 Glen Erin Dr,L5M 6B1,Bldg 1,UnitNo 2A,43.566294,-79.729359
McDonald's,722512,905-812-7187,www.mcdonalds.ca,5636 Glen Erin Dr,L5M 6B1,Bldg 2,UnitNo 12,43.566294,-79.729359
Pizza Nova,722512,905-616-2949,www.pizzanova.com,6040 Glen Erin Dr,L5N 3M4,,UnitNo 5,43.57498,-79.738672
Subway,722512,905-612-0007,www.subway.com,7205 Goreway Dr,L4T 2T9,,UnitNo 2B-10,43.718806,-79.638786
Caribbean Oasis,722512,905-908-2505,,7125 Goreway Dr,L4T 4H3,,UnitNo 105,43.715998,-79.634934
Pizza Pizza,722512,905-671-1111,www.pizzapizza.ca,7125 Goreway Dr,L4T 2T5,,UnitNo 101,43.715998,-79.634934
Dairy Queen,722512,905-276-2253,www.dairyqueen.com,1248 Dundas St E,L4Y 2C1,,UnitNo 5,43.60575,-79.58565
Gino's Pizza,722512,905-677-8039,www.ginospizza.ca,7205 Goreway Dr,L4T 2T9,,UnitNo 14,43.718806,-79.638786
R Corner Diner Inc.,722511,905-268-0787,,2386 Haines Rd,L4Y 1Y6,,UnitNo 19,43.593258,-79.590683
The Maharaja,722511,905-507-2444,www.themaharaja.ca,4646 Heritage Hills Blvd,L5R 1Y3,,UnitNo 3,43.599454,-79.660061
Bairrada Churrasqueira Grill,722511,905-273-9438,www.bairrada.ca,33 Hillcrest Ave,L5B 1K5,,,43.58219,-79.62175
Pizza Nova,722512,905-439-0000,www.pizzanova.com,1211 Hurontario St,L5G 3H2,Bldg 2,UnitNo D,43.559391,-79.587506
Tim Hortons,722512,905-271-7299,www.timhortons.com,1211 Hurontario St,L5G 3H2,Bldg 2,UnitNo A,43.559391,-79.587506
Palma Pasta Italian Food Shop,722512,905-896-0225,www.palmapasta.com,2325 Hurontario St,L5A 4K4,Bldg 3,UnitNo 15,43.57519,-79.6078
3 For 1 Pizza Wings Ltd.,722512,416-341-0888,,2325 Hurontario St,L5A 4K4,Bldg 2,UnitNo 6,43.57519,-79.6078
Kanda Sushi,722512,905-896-7999,www.kanda-sushi.ca,2325 Hurontario St,L5A 4K4,Bldg 2,UnitNo 8 to 10,43.57519,-79.6078
Federick Chinese Restaurant,722512,905-281-8199,www.federickmississauga.com,2515 Hurontario St,L5A 4C8,,UnitNo 112,43.57928,-79.61425
Popeye's Louisiana Kitchen,722512,905-273-3500,www.popeyeschicken.ca,2515 Hurontario St,L5A 4C8,,UnitNo 101,43.57928,-79.61425
Freddy's Kitchen,722512,905-848-3733,,2515 Hurontario St,L5A 4C8,,UnitNo 109,43.57928,-79.61425
Pho Ha Noi,722511,905-276-7745,,2541 Hurontario St,L5A 2G4,,UnitNo Downstairs,43.579307,-79.614944
Little Caesars,722512,647-885-8710,www.littlecaesars.ca,2550 Hurontario St,L5B 1N5,,UnitNo 6,43.579126,-79.614961
Orchard Family Restaurant,722511,905-279-8220,,2550 Hurontario St,L5B 1N5,,UnitNo 8,43.579126,-79.614961
Charlie's Caribbean Cuisine,722511,905-949-0663,www.charliescarribbeancuisine.com,3055 Hurontario St,L5A 2G9,,,43.581344,-79.617833
The Village,722511,905-848-0444,,3073 Hurontario St,L5A 2G9,,,43.581651,-79.618267
Double Double Pizza & Chicken Wings,722512,905-276-0622,www.doublepizza.com,3095 Hurontario St,L5A 2G9,,UnitNo 55,43.582161,-79.618987
Quik Chik,722512,905-306-7861,www.quikchik.ca,3355 Hurontario St,L5A 4E7,,UnitNo 1&2,43.587269,-79.626245
Wally's Restaurant Hamburger & Steak Place,722512,905-279-0975,,3480 Hurontario St,L5B 1P2,,,43.589433,-79.629549
Novotel Toronto Mississauga,721111,905-896-1000,www.mississaugacentre.hotel,3670 Hurontario St,L5B 1P3,,,43.592658,-79.633976
Second Cup,722512,905-502-8227,www.secondcup.com,4553 Hurontario St,L4Z 3L9,,UnitNo E2,43.605108,-79.6504
Mississauga Marketplace Fish & Chips Seafood Restaurant,722511,905-755-0414,,4555 Hurontario St,L4Z 3M1,,UnitNo C6,43.604827,-79.650014
Bubble Republic,722511,905-712-1288,www.bubblerepublic.ca,4555 Hurontario St,L4Z 3M1,,UnitNo C5,43.604827,-79.650014
Swiss Chalet,722511,905-890-9330,www.swisschalet.com,4555 Hurontario St,L4Z 3M1,,UnitNo C1,43.604827,-79.650014
Hakka Ren,722511,905-568-1818,www.hakkaren.ca,4555 Hurontario St,L4Z 3M1,,UnitNo C2,43.604827,-79.650014
Wangs Kitchen Canada Inc,722511,905-712-4370,www.wangskitchen.ca,4559 Hurontario St,L4Z 3L9,,UnitNo A12,43.605838,-79.651419
Bashu Chinese Restaurant / 1723530 Ontario Inc.,722512,905-568-9988,www.bashuonline.com,4559 Hurontario St,L4Z 3L9,,UnitNo A-7A,43.605838,-79.651419
Harvey's,722512,905-507-0708,www.harveys.ca,4559 Hurontario St,L4Z 3L9,,UnitNo A13,43.605838,-79.651419
Pizza Hut,722512,905-568-8380,www.pizzahut.ca,4559 Hurontario St,L4Z 3L9,,UnitNo A2,43.605838,-79.651419
Saravana Bhavan,722511,905-290-0769,www.saravanabhavan.ca,4559 Hurontario St,L4Z 3L9,,UnitNo A13,43.605838,-79.651419
Kentucky Fried Chicken,722512,905-712-1914,www.kfc.ca,4559 Hurontario St,L4Z 3L9,,UnitNo 7A,43.605838,-79.651419
Bombay Bhel,722511,905-890-7955,www.bombaybhelrestaurant.com,5035 Hurontario St,L4Z 3X7,Bldg 4,UnitNo 14,43.607386,-79.653662
Burger King,722512,905-890-5780,www.burgerking.ca,5645 Hurontario St,L4Z 1S7,,,43.6191,-79.66888
"Chelsea Restaurant, The",722511,905-271-4290,,7 John St S,L5H 2E3,,,43.549229,-79.587679
N G O C Yen Restaurant Limited,722511,905-629-9559,www.ngocyenrestaurant.com,1090 Kamato Rd,L4W 2P3,,UnitNo 17 to 19,43.638917,-79.643816
Culinaria Restaurant,722511,905-890-7330,www.culinaria.ca,5732 Kennedy Rd,L4Z 1T1,,,43.630682,-79.661635
Preet Palace,722320,905-568-1918,www.preetpalace.ca,5835 Kennedy Rd,L4Z 2G3,,,43.633535,-79.663957
Carribean Authentic Restaurant,722512,905-565-0080,www.caribbeanauthenticrestaurant.com,6660 Kennedy Rd,L5T 2M9,,UnitNo 3,43.649201,-79.686414
Cafe D'oro Italian Eatery & Catering Ltd.,722512,905-564-6024,,6660 Kennedy Rd,L5T 2M9,,UnitNo 12&13,43.649201,-79.686414
Subway,722512,905-890-5900,www.subway.com,20 Kingsbridge Garden Cir,L5R 3K7,,UnitNo 3,43.60264,-79.64895
Oasis Convention Centre,722320,905-891-7777,www.oasisconvention.com,1036 Lakeshore Rd E,L5E 1E4,,,43.576974,-79.558704
